,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
99,9.0,44.0,10.0,97.0,55.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1063.6875000000002,0.6939585662729852,506.9312418813669,32.321860482075486,93.0,152.50000000000003,75.0,241.19848463148344,123.48646899469959,79.09037235265849,202.57684134735808,38.621643284125355
25,9.0,42.0,10.0,100.0,55.0,3500.0,24.0,23.0,16.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1084.6125000000002,0.7270042122859844,507.2484830172192,31.790215197163953,93.0,155.50000000000003,75.0,238.67427881750876,122.8161713359995,75.88377189942851,198.699943235428,39.97433558208076
47,9.0,44.0,10.0,98.0,55.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1070.6625000000001,0.6939585662729852,506.9312418813669,32.234500377226844,93.0,153.50000000000003,75.0,240.42883639177649,122.74030013907314,79.06689296857799,201.80719310765113,38.621643284125376
27,9.0,45.0,10.0,93.0,55.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1046.9250000000002,0.6785372648002521,508.26018593429205,32.890645171319385,94.0,148.50000000000003,75.0,243.48770077228357,125.38504415776958,80.1179769068484,205.503021064618,37.984679707665585
3,9.0,45.0,10.0,86.0,54.0,3500.0,23.0,23.0,11.0,8.0,3.0,3.0,1.0,1.0,0.0,1.0,973.8400000000001,0.6785372648002521,500.4393678762496,32.93105192265235,94.0,140.0,74.0,263.7482229679821,123.96942693071287,102.30057872570586,226.27000565641873,37.47821731156339
95,9.0,45.0,10.0,91.0,55.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1032.825,0.6785372648002521,508.26018593429205,32.44616331035131,94.0,146.50000000000003,75.0,244.66877136895872,125.48971864923705,81.19437301205608,206.6840916612931,37.984679707665585
2,9.0,45.0,10.0,86.0,55.0,3500.0,23.0,23.0,19.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,997.5750000000002,0.678537264800252,500.6811754326221,31.78985541011724,94.0,141.50000000000003,75.0,248.52430728228194,125.37492632312686,85.16470125148952,210.53962757461636,37.98467970766557
75,9.0,45.0,10.0,91.0,56.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,1.0,1.0,1.0,0.0,1046.596,0.6785372648002521,507.1197106876342,32.47260818081793,94.0,146.50000000000003,76.0,245.02419531906088,125.47846475206319,81.05458846322992,206.5330532152931,38.49114210376778
11,9.0,45.0,10.0,88.0,55.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1011.6750000000001,0.6785372648002521,502.0741310958101,31.77175384283702,94.0,143.50000000000003,75.0,244.4893468792721,125.17682555545619,81.32784161615034,206.5046671716065,37.984679707665585
1,9.0,45.0,10.0,84.0,54.0,3500.0,23.0,23.0,11.0,8.0,3.0,3.0,1.0,1.0,0.0,-3.0,959.9280000000001,0.6785372648002521,503.9600109272734,32.356856145814255,94.0,138.0,74.0,264.91403781915784,125.06130674711959,102.3745137604749,227.43582050759449,37.47821731156336
6,9.0,45.0,10.0,86.0,56.0,3500.0,23.0,23.0,17.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1010.8760000000002,0.678537264800252,500.6811754326221,31.750078999932178,94.0,141.50000000000003,76.0,246.97148331639733,125.00896895289074,83.4713722597388,208.48034121262953,38.49114210376779
63,9.0,48.0,10.0,93.0,72.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,1.0,3.0,-5.0,0.0,1325.2140000000004,0.6361286857502364,511.77381028384116,32.33441574035985,97.0,148.50000000000003,92.00000000000001,235.56264316866253,124.41595098247464,66.72513513794564,191.14108612042028,44.42155704824224
40,9.0,48.0,10.0,97.0,82.0,3500.0,23.0,23.0,16.0,10.0,3.0,5.0,3.0,3.0,3.0,0.0,1523.6760000000004,0.6361286857502364,537.123090881871,31.74998387530455,97.0,154.00000000000003,102.00000000000001,214.3726355638339,106.76561491959173,58.35703348206057,165.1226484016523,49.2499871621816
18,9.0,48.0,10.0,100.0,82.0,3500.0,23.0,23.0,16.0,10.0,3.0,5.0,3.0,3.0,-5.0,0.0,1553.3580000000004,0.6361286857502364,533.7911787626774,31.776819830612826,97.0,157.00000000000003,102.00000000000001,210.03441837424862,104.25496673099097,56.52946448107604,160.784431212067,49.2499871621816
86,9.0,48.0,10.0,91.0,72.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,1.0,3.0,-5.0,0.0,1307.3660000000004,0.6361286857502364,511.77381028384116,31.889933879391865,97.0,146.50000000000003,92.00000000000001,236.53381240240185,124.31072411100631,67.8015312431533,192.11225535415963,44.42155704824224
91,9.0,48.0,10.0,95.0,72.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,1.0,3.0,-5.0,0.0,1343.0620000000004,0.6361286857502364,522.0480433698935,32.460524902420545,97.0,150.50000000000003,92.00000000000001,234.33026997241757,123.98802392014744,65.92068900402786,189.9087129241753,44.42155704824227
82,9.0,48.0,10.0,94.0,72.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,1.0,3.0,-5.0,0.0,1334.1380000000004,0.6361286857502365,517.4242417213089,32.32664890718137,97.0,149.50000000000003,92.00000000000001,235.34358824561804,124.81886448187959,66.10316671549622,190.92203119737582,44.42155704824225
50,9.0,48.0,10.0,97.0,72.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,2.0,3.0,-3.0,0.0,1360.9100000000005,0.6361286857502364,528.7783391332753,31.74591669511035,97.0,152.50000000000003,92.00000000000001,222.99570181386372,112.1415032208079,66.43264154481356,178.57414476562147,44.42155704824224
21,9.0,49.0,10.0,95.0,72.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,1.0,3.0,-5.0,0.0,1356.9080000000004,0.623146467673701,522.0480433698935,32.72170285611447,98.0,150.50000000000003,92.00000000000001,233.50242265134847,123.98802392014744,65.76549310701485,189.75351702716227,43.74890562418621
93,9.0,49.0,10.0,100.0,82.0,3500.0,23.0,23.0,16.0,10.0,3.0,5.0,3.0,3.0,-3.0,0.0,1569.3720000000005,0.623146467673701,538.3179159971941,31.909317240797243,98.0,157.00000000000003,102.00000000000001,210.15400656229247,105.77307105502587,55.876714054364435,161.6497851093903,48.50422145290216
